feature,mean_abs_shap,ci_low,ci_high,mean_abs_log_shap,log_ci_low,log_ci_high,recent_abs_shap,older_abs_shap,rank
cos_roll,0.10317396966116109,0.098650776,0.1083692,0.0009007593161197496,0.00086392317,0.0009407768,0.48220447937559596,0.032983134528858024,29
pos_ax,0.10098994442627643,0.09688818,0.10517871,0.0009391327963802454,0.0009047024,0.0009783352,0.4429400494818881,0.03766585089745927,30
time_cos_60s,0.09903844287142875,0.09695955,0.1010441,0.0009542720980651762,0.00092829816,0.0009802014,0.4784796230657504,0.028771557650257733,31
air_ambient_temperature,0.08736728775831155,0.075844556,0.09944875,0.0007897148160638579,0.0006827698,0.00089957204,0.4043858246597958,0.028660151295073634,32
pos_az,0.08641619928025793,0.08194728,0.091088265,0.0007766872110725385,0.0007291418,0.00082641427,0.3494113316328815,0.03771339699273517,33
true_airspeed,0.08047409611659513,0.07536414,0.08576704,0.00072523002643223,0.00067568885,0.0007752108,0.31081970971115896,0.037817501006490534,34
time_sin_10s,0.07291067243431609,0.07139367,0.07434564,0.0006717317931220404,0.0006587528,0.00068538653,0.3262265632374102,0.026000322285594943,35
headwind_component,0.07213874481939525,0.066660106,0.07804746,0.0006638957681788833,0.00060697226,0.0007245725,0.33862848403369167,0.022788793113044114,36
time_cos_30s,0.06622891366360201,0.06420042,0.068304285,0.0006044824047795552,0.0005858882,0.0006255445,0.2815761363882464,0.026349798344222925,37
time_sin_60s,0.05734612612251336,0.055934664,0.058718443,0.0005446935592394174,0.0005319415,0.000558826,0.2600777497695668,0.01980323285454064,38
time_cos_10s,0.05693330031287275,0.05550501,0.058458976,0.0005012805882308734,0.00048727827,0.00051657367,0.20716972281292656,0.029111740590640606,39
time_sin_30s,0.05505847591762875,0.05349879,0.056637984,0.0005178356870843316,0.0005006774,0.00053582864,0.2023206141647385,0.027787709575571255,40
