campaign,flight_num,duration_s,horizontal_distance_m,path_length_m,altitude_range_m,vertical_displacement_m,mean_abs_climb_rate,climb_fraction,sink_fraction,mean_true_airspeed,mean_speed_horizontal,mean_headwind_component,mean_wind_speed,mean_air_density,mean_air_temperature,mean_pitch,mean_tilt_angle,mean_dynamic_pressure,mean_actual_power_W,mean_predicted_power_W,mean_residual_W,rmse_W
1,28,296.616041,4129.70452505316,4141.598385614596,66.031567,2.1085700000000003,0.8289195783182906,0.40512820512820513,0.38632478632478634,22.468263264957265,13.959582115914992,2.0047539391547042,5.541215400584472,1.1487089258119658,37.33675813675214,0.0487995446246529,0.23046698223556097,291.7461637788972,,,,
2,29,239.340001,4308.690622452437,4318.5361032885585,65.95229000000002,2.1561299999999903,0.9242222935809725,0.3572938689217759,0.41014799154334036,26.416605035940805,18.011121395003563,-0.16342466372575634,2.2449201872967803,1.1752517803382665,31.84419204651163,0.017672275367494352,0.2686919175035876,414.2856008023974,,,,
2,30,247.4336469999999,4151.919198552813,4163.622463000198,67.08321,-1.1414699999999982,0.9604441699839795,0.38979591836734695,0.40408163265306124,25.025270510204077,16.812340203387283,0.4644086121943102,3.1106703137398912,1.1714747002040815,32.77908763265307,0.03650619800570979,0.24602230847174514,369.2996623232767,,,,
2,31,243.386662,4197.039540201388,4206.8231297889615,65.87831999999999,0.4438899999999819,0.9274931357852083,0.4083333333333333,0.41041666666666665,25.302871689583338,17.31038583084227,0.08174534219760332,2.680290962865963,1.1699500693750002,33.214589333333336,0.035075095966125965,0.27013886489303196,377.5562137246062,,,,
2,32,280.324,4137.497207715862,4150.71058678265,66.21652000000002,-1.9024900000000002,0.9408429094569369,0.42162162162162165,0.4486486486486487,22.494560230630633,14.806549302867102,1.1444486933478955,4.072528781602673,1.1678144985585586,33.95315915315315,0.046731836813447225,0.2417806607798756,299.92424789752215,,,,
2,33,259.072205,4162.408145746107,4172.854416561128,63.125006,-0.26954000000000633,0.8910731332130859,0.416015625,0.3984375,24.455540091796877,16.119895033821745,0.5508037192589162,3.816265828509568,1.16861060234375,33.600006,0.04241755874121478,0.24541282766264305,354.60364087850394,,,,
2,34,280.830001,4183.952805734842,4196.4580342305,64.44088,0.502040000000008,0.9004313996864621,0.3971119133574007,0.4314079422382672,22.58471813718411,14.935451660580048,0.8184109769732222,4.008042229049072,1.1549476283393503,36.08015040433213,0.04903067248571128,0.25306017787902446,301.6021356143201,,,,
2,35,260.591295,4175.804468275136,4185.824644955879,65.25472500000001,0.21667999999999665,0.8628578341459303,0.3875968992248062,0.4263565891472868,24.13050870348837,16.063902840784763,0.16414312072747148,3.1085394578855032,1.1676975432170542,33.76376568992248,0.040401436234152675,0.24662159761691488,346.5160577899104,,,,
2,36,263.12,4136.533479487141,4148.660117300327,67.75965000000001,0.6288700000000063,0.9328629098551346,0.41923076923076924,0.4173076923076923,24.005382153846156,15.757755145560342,0.7749439517440009,3.7359563812551873,1.1675815340384614,33.850006,0.04184101364785592,0.2433489430435715,341.57377664395904,,,,
2,37,265.6500060000002,4153.107713537841,4163.440191142538,63.90185000000001,-1.1044799999999952,0.867353311970057,0.38783269961977185,0.4429657794676806,23.516804731939164,15.682097322007307,0.4826406944002431,3.2591723232991496,1.167493615969582,33.850006,0.043680694097417434,0.2345365382330163,326.84415786422056,,,,
