campaign,feature,mean_abs_shap,rank
6,log_elapsed_s,0.30448710850911154,5
6,elapsed_s,0.16347945990639653,6
6,accel_magnitude,0.16231499235374555,7
6,sin_roll,0.16152471522993236,8
6,dynamic_pressure,0.15649862329827438,9
6,climb_rate,0.15513129856832966,10
6,time_cos_120s,0.14835148225701997,11
6,headwind_x_airspeed,0.14561538218950304,12
6,t_sec,0.1434954023785949,13
6,load_factor_proxy,0.1387159829580558,14
6,pos_vy,0.1353628049514202,15
6,pos_vx,0.13093127406294738,16
6,airspeed_cubed,0.12908515149244898,17
6,cos_pitch,0.12256358738783256,18
6,climb_positive,0.12030069550147869,19
6,pos_ay,0.11968566706856364,20
6,roll,0.11900385578035969,21
6,sink_positive,0.11214994822665127,22
6,cos_roll,0.10792754112670276,23
6,tilt_angle,0.10586828315551523,24
6,time_sin_120s,0.10496842319760541,25
6,pos_vz,0.10287253285010434,26
6,pos_ax,0.1024916958500838,27
6,air_rho,0.10080199036787652,28
6,time_cos_60s,0.09764403870193637,29
6,wind_north,0.09678683970746672,30
6,air_ambient_temperature,0.09669282635364373,31
6,pos_az,0.09091030647756085,32
6,true_airspeed,0.08959654537936522,33
6,wind_east,0.08386981737640091,34
6,time_sin_10s,0.07245489372746498,35
6,headwind_component,0.07175456154483037,36
6,time_cos_30s,0.06715737472215201,37
6,time_cos_10s,0.05765334666037063,38
6,time_sin_60s,0.056939108709788765,39
6,time_sin_30s,0.054231598564545805,40
7,air_rho,0.40759930374270703,1
7,sin_pitch,0.3083071707797478,2
7,ground_speed_3d,0.2738961374904292,3
7,pitch,0.26976145408563795,4
7,speed_horizontal,0.21814853230762546,5
7,log_elapsed_s,0.21287805423678063,6
7,wind_east,0.18329422615986574,7
7,sin_roll,0.13937581300650403,8
7,time_cos_120s,0.13695859534247562,9
7,t_sec,0.12924856980363408,10
7,wind_north,0.1292215188556266,11
7,elapsed_s,0.12642985629316253,12
7,climb_rate,0.1207754458591193,13
7,accel_magnitude,0.11519356944755574,14
7,pos_vy,0.10399071220985266,15
7,sink_positive,0.09413440411680456,16
7,time_sin_120s,0.09307909844109942,17
7,roll,0.09092862067633901,18
7,headwind_x_airspeed,0.08907282276696164,19
7,pos_vx,0.08819366282353014,20
7,pos_ay,0.08458496924500003,21
7,time_cos_60s,0.08303329066532747,22
7,pos_vz,0.0827268261348264,23
7,climb_positive,0.08140439722287188,24
7,load_factor_proxy,0.08095789556460675,25
7,cos_pitch,0.07875285960456561,26
7,dynamic_pressure,0.07503542916772338,27
7,tilt_angle,0.07318559193437754,28
7,cos_roll,0.07253953870387334,29
7,pos_ax,0.06636927246550357,30
7,time_sin_10s,0.0628835648215268,31
7,airspeed_cubed,0.061445801176184964,32
7,air_ambient_temperature,0.05066535291104972,33
7,time_sin_60s,0.04887092058018744,34
7,time_cos_30s,0.048783024002607304,35
7,time_cos_10s,0.04492119076232238,36
7,headwind_component,0.0433784027369091,37
7,true_airspeed,0.043321242256838415,38
7,pos_az,0.04261758809845902,39
7,time_sin_30s,0.040370917637949824,40
