feature,baseline_RMSE_W,permuted_RMSE_W,delta_RMSE_W,baseline_MAE_W,permuted_MAE_W,delta_MAE_W,baseline_RMSLE,permuted_RMSLE,delta_RMSLE,rank
time_cos_60s,19.117176694934138,19.673562114693542,0.5563854197594047,11.805650719222998,12.481041297748076,0.6753905785250787,0.1650317051451937,0.17114269302713533,0.006110987881941643,31
time_sin_60s,19.117176694934138,19.57309081175951,0.4559141168253724,11.805650719222998,12.335087798849639,0.529437079626641,0.1650317051451937,0.17150300168842375,0.0064712965432300595,32
pos_az,19.117176694934138,19.505380501744632,0.3882038068104947,11.805650719222998,12.232029208285192,0.4263784890621949,0.1650317051451937,0.16982220637068607,0.004790501225492377,33
time_sin_30s,19.117176694934138,19.462944445588978,0.34576775065484,11.805650719222998,12.103840611680408,0.29818989245741,0.1650317051451937,0.1739073722596776,0.008875667114483898,34
time_cos_30s,19.117176694934138,19.435626522120987,0.3184498271868499,11.805650719222998,12.363687274104274,0.5580365548812765,0.1650317051451937,0.17273622291875926,0.007704517773565567,35
wind_north,19.117176694934138,19.433999265610915,0.3168225706767771,11.805650719222998,12.403840953396786,0.5981902341737886,0.1650317051451937,0.171671322831012,0.006639617685818305,36
wind_east,19.117176694934138,19.421606080678334,0.3044293857441964,11.805650719222998,12.502557252330138,0.6969065331071409,0.1650317051451937,0.17288580005853027,0.007854094913336579,37
headwind_component,19.117176694934138,19.365846035227296,0.24866934029315857,11.805650719222998,12.122510680968448,0.3168599617454504,0.1650317051451937,0.17486573820913232,0.009834033063938624,38
time_cos_10s,19.117176694934138,19.2888631060246,0.17168641109046234,11.805650719222998,12.063040003042481,0.25738928381948334,0.1650317051451937,0.16799260987240205,0.0029609047272083633,39
time_sin_10s,19.117176694934138,19.275958900739575,0.15878220580543712,11.805650719222998,11.994869901691976,0.18921918246897818,0.1650317051451937,0.16747786754193025,0.002446162396736562,40
